compound_id,IC50_nM,units,IC50_uM,pIC50,source
CHEMBL137897,15000.0,nM,15.0,-1.1760912590556813,ChEMBL
CHEMBL152922,130.0,nM,0.13,0.8860566476931632,ChEMBL
CHEMBL4780888,3910.0,nM,3.91,-0.5921767573958668,ChEMBL
CHEMBL360304,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL388978,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL140774,8000.0,nM,8.0,-0.9030899869919435,ChEMBL
CHEMBL137829,46000.0,nM,46.0,-1.662757831681574,ChEMBL
CHEMBL303110,10.0,nM,0.01,2.0,ChEMBL
CHEMBL341946,1000.0,nM,1.0,-0.0,ChEMBL
CHEMBL138698,500000.0,nM,500.0,-2.6989700043360187,ChEMBL
CHEMBL137828,35000.0,nM,35.0,-1.5440680443502757,ChEMBL
CHEMBL5438568,158.49,nM,0.15849000000000002,0.7999981345933982,ChEMBL
CHEMBL62176,100000.0,nM,100.0,-2.0,ChEMBL
CHEMBL545315,1.6,nM,0.0016,2.795880017344075,ChEMBL
CHEMBL5425333,1000000.0,nM,1000.0,-3.0,ChEMBL
CHEMBL122397,14000.0,nM,14.0,-1.146128035678238,ChEMBL
CHEMBL66031,46.0,nM,0.046,1.337242168318426,ChEMBL
CHEMBL339550,22700.0,nM,22.7,-1.3560258571931227,ChEMBL
CHEMBL7917,100.0,nM,0.1,1.0,ChEMBL
CHEMBL343071,100000.0,nM,100.0,-2.0,ChEMBL
CHEMBL7339,45200.0,nM,45.2,-1.6551384348113822,ChEMBL
CHEMBL7981,46200.0,nM,46.2,-1.6646419755561255,ChEMBL
CHEMBL5590555,110000.0,nM,110.0,-2.041392685158225,ChEMBL
CHEMBL368416,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL368895,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL426587,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL137189,200.0,nM,0.2,0.6989700043360187,ChEMBL
CHEMBL153577,578.0,nM,0.578,0.23807216157947098,ChEMBL
CHEMBL139833,50000.0,nM,50.0,-1.6989700043360187,ChEMBL
CHEMBL359486,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL178945,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL137924,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL4434788,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL4562138,1100.0,nM,1.1,-0.04139268515822508,ChEMBL
CHEMBL5411911,125892.54,nM,125.89254,-2.0999999959313382,ChEMBL
CHEMBL5420832,1000000.0,nM,1000.0,-3.0,ChEMBL
CHEMBL5401602,1000000.0,nM,1000.0,-3.0,ChEMBL
CHEMBL2110732,19.95,nM,0.01995,1.700057099977233,ChEMBL
CHEMBL292323,100000.0,nM,100.0,-2.0,ChEMBL
CHEMBL62701,25000.0,nM,25.0,-1.3979400086720377,ChEMBL
CHEMBL4525935,5100.0,nM,5.1,-0.7075701760979364,ChEMBL
CHEMBL138340,35000.0,nM,35.0,-1.5440680443502757,ChEMBL
CHEMBL4519157,1300.0,nM,1.3,-0.11394335230683679,ChEMBL
CHEMBL266995,10200.0,nM,10.2,-1.0086001717619175,ChEMBL
CHEMBL170518,220.0,nM,0.22,0.6575773191777937,ChEMBL
CHEMBL52765,40.0,nM,0.04,1.3979400086720375,ChEMBL
CHEMBL5594443,1000000.0,nM,1000.0,-3.0,ChEMBL
CHEMBL7819,2830.0,nM,2.83,-0.45178643552429026,ChEMBL
CHEMBL4537790,190.0,nM,0.19,0.721246399047171,ChEMBL
CHEMBL4566193,270.0,nM,0.27,0.5686362358410126,ChEMBL
CHEMBL7810,4930.0,nM,4.93,-0.69284691927723,ChEMBL
CHEMBL340520,36900.0,nM,36.9,-1.5670263661590604,ChEMBL
CHEMBL4784389,4270.0,nM,4.27,-0.6304278750250238,ChEMBL
CHEMBL304414,100000.0,nM,100.0,-2.0,ChEMBL
CHEMBL44918,4000.0,nM,4.0,-0.6020599913279624,ChEMBL
CHEMBL3353410,81.0,nM,0.081,1.0915149811213503,ChEMBL
CHEMBL4550104,2300.0,nM,2.3,-0.36172783601759284,ChEMBL
CHEMBL422643,33000.0,nM,33.0,-1.5185139398778875,ChEMBL
CHEMBL141271,300000.0,nM,300.0,-2.4771212547196626,ChEMBL
CHEMBL440529,100000.0,nM,100.0,-2.0,ChEMBL
CHEMBL440453,11400.0,nM,11.4,-1.0569048513364727,ChEMBL
CHEMBL152448,110.0,nM,0.11,0.958607314841775,ChEMBL
CHEMBL142135,4000.0,nM,4.0,-0.6020599913279624,ChEMBL
CHEMBL344614,200000.0,nM,200.0,-2.3010299956639813,ChEMBL
CHEMBL137617,70.0,nM,0.07,1.154901959985743,ChEMBL
CHEMBL5595106,50000.0,nM,50.0,-1.6989700043360187,ChEMBL
CHEMBL5595541,2700.0,nM,2.7,-0.43136376415898736,ChEMBL
CHEMBL3353410,2600.0,nM,2.6,-0.414973347970818,ChEMBL
CHEMBL7866,9550.0,nM,9.55,-0.9800033715837464,ChEMBL
CHEMBL3353410,9.0,nM,0.009,2.0457574905606752,ChEMBL
CHEMBL4532034,700.0,nM,0.7,0.1549019599857432,ChEMBL
CHEMBL5592717,1000000.0,nM,1000.0,-3.0,ChEMBL
CHEMBL2110732,5.8,nM,0.0058,2.2365720064370627,ChEMBL
CHEMBL939,14.4,nM,0.0144,1.8416375079047504,ChEMBL
CHEMBL1336,3500.0,nM,3.5,-0.5440680443502757,ChEMBL
CHEMBL5593705,1700.0,nM,1.7,-0.2304489213782739,ChEMBL
CHEMBL7827,16000.0,nM,16.0,-1.2041199826559248,ChEMBL
CHEMBL4555578,199526.23,nM,199.52623,-2.299999996741831,ChEMBL
CHEMBL5440872,7.943,nM,0.007943,2.100015437450609,ChEMBL
CHEMBL4799549,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL4777357,9230.0,nM,9.23,-0.9652017010259121,ChEMBL
CHEMBL4786129,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL4793333,3790.0,nM,3.79,-0.5786392099680724,ChEMBL
CHEMBL339727,11300.0,nM,11.3,-1.0530784434834197,ChEMBL
CHEMBL4787657,2650.0,nM,2.65,-0.42324587393680785,ChEMBL
CHEMBL4449589,3600.0,nM,3.6,-0.5563025007672873,ChEMBL
CHEMBL4783884,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL5429059,50.12,nM,0.05012,1.2999889376778877,ChEMBL
CHEMBL5439330,100000.0,nM,100.0,-2.0,ChEMBL
CHEMBL5424516,1450.0,nM,1.45,-0.16136800223497488,ChEMBL
CHEMBL5411401,398107.17,nM,398.10717,-2.5999999993961906,ChEMBL
CHEMBL4284413,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL4795677,9230.0,nM,9.23,-0.9652017010259121,ChEMBL
CHEMBL4787277,3790.0,nM,3.79,-0.5786392099680724,ChEMBL
CHEMBL4779194,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL553,19.3,nM,0.0193,1.7144426909922261,ChEMBL
CHEMBL5430172,794328.23,nM,794.32823,-2.8999999974170256,ChEMBL
